,Name,Rating,Reviews,Salaries,Jobs,Loction,Global_Company_Size,Industry,Description
0,Tata Consultancy Services,3.9,1.2LReviews,1.2L,778,39 office locations,10000+ Employees,Software Development,
1,Accenture,4.1,1.4LReviews,74.5T,22.7T,37 office locations,10000+ Employees,Business Consulting,"Growing customer expectations. Market-Shaping AI. Self-Optimizing systems. The post-digital age shows no signs of slow down, and the need for the new ideas powered by intelligent technologies has never been greater.

A vision for the future can’t be realized without know-how. Accenture partners with our clients drive real innovation – the kind that turns an idea into an industry – helping them transform and grow their organizations. Learn how we work with companies from all industries across the globe to create the New, now."
2,Amazon,4.2,1.7LReviews,40.3T,10T,65 office locations,10000+ Employees,Internet & Web Services,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  

We are driven by the excitement of building technologies, inventing products, and providing services that transform the way our customers live their lives and run their businesses."
3,Cognizant Technology Solutions,3.9,84.4TReviews,69.5T,3.9T,27 office locations,10000+ Employees,Information Technology Support Services,"Cognizant is one of the world’s leading professional services companies, helping clients become data-enabled and data-driven in the digital era. Our industry-based, consultative approach helps companies evolve into modern businesses. By leading clients in leveraging technologies essential to modern enterprises such as IoT, artificial intelligence, digital engineering and cloud, we enable new business and operating models that unlock new value in markets around the world. Cognizant’s unwavering focus on our clients is led by over 330,000 associates, who deliver services and solutions tailored to specific industries and the unique needs of the organizations we serve."
4,Deloitte,4.1,97TReviews,31.9T,45.3T,33 office locations,10000+ Employees,Accounting & Tax,"Deloitte provides industry-leading audit and assurance, tax and legal, consulting, financial advisory, and risk advisory services to nearly 90% of the Fortune Global 500® and thousands of private companies. Our more than 345,000 professionals deliver measurable and lasting results that help reinforce public trust in capital markets, enable clients to transform and thrive, and lead the way toward a stronger economy, a more equitable society and a sustainable world. Building on its 175-plus year history, Deloitte spans more than 150 countries and territories.

Deloitte US-India offices is part of region within the Deloitte US organization, with offices across four cities in India — Hyderabad, Mumbai, Delhi, and Bengaluru."
5,IBM,4.2,1LReviews,31.8T,4.2T,37 office locations,10000+ Employees,Information Technology Support Services,"IBM works to design, advance, and scale the technologies that define each era. Restlessly reinventing since 1911, we are one of the largest technology, consulting and research companies in the world.  IBMers are agents of change – in this team, you’ll become a part of a historic, prestigious, and global community in which you’ll be respected, and your talents will have a real impact. 

Join our team of experts and thrive in a collaborative and friendly environment where you can bring your whole self at work. Use your skills to empower clients and partners to create something that is bigger than what any one of us could produce alone.

Come and let’s create together!"
6,Capgemini,4.0,68.1TReviews,44.4T,8.4T,54 office locations,10000+ Employees,Enterprise Software & Network Solutions,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of 360,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2022 global revenues of €22 billion.
Get The Future You Want | www.capgemini.com

Capgemini in India comprises over 185,000 team members working across 13 locations: Bangalore, Bhubaneswar, Chennai, Coimbatore, Gandhinagar, Gurugram, Hyderabad, Kolkata, Mumbai, Noida, Pune, Salem and Tiruchirappalli. Learn more about Capgemini in India at www.capgemini.com/in-en."
7,Wipro,3.8,52.8TReviews,45T,2.1T,38 office locations,10000+ Employees,Information Technology Support Services,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting firm focused on building innovative solutions that address clients’ most complex digital transformation needs.

Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 250,000 employees and business partners across 66 countries, we deliver on the promise of helping our customers, colleagues, and communities, to thrive in an ever-changing world."
8,EY,3.9,69.6TReviews,18.1T,13.3T,5 office locations,10000+ Employees,Accounting & Tax,"EY is a global leader in assurance, tax, transaction and advisory services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities.

EY refers to the global organization and may refer to one or more of the member firms of Ernst & Young Global Limited, each of which is a separate legal entity. Ernst & Young Global Limited, a UK company limited by guarantee, does not provide services to clients. For more information about our organization, please visit ey.com."
9,HCLTech,3.7,39.7TReviews,32.1T,942,26 office locations,10000+ Employees,Computer Hardware Development,"HCLTech is a global technology company, home to 225,900+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering and cloud powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.

Our purpose is to bring together the best of technology and our people to supercharge progress. We’re supercharging progress for everyone, everywhere – our clients, partners and their stakeholders, our people, communities, and the planet.

Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments.

As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040.

We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.

We’re powered by our people – a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving.

Consolidated revenues as of 12 months ending March 2023 totaled $12.6 billion. To learn how we can supercharge progress for you, visit hcltech.com"
10,Oracle,3.9,48.1TReviews,18.7T,2.7T,44 office locations,10000+ Employees,Enterprise Software & Network Solutions,"Oracle is the world’s leading provider of business software. But you probably already knew that. With a presence in over 175 countries, we are one of the biggest technology companies in the world. What you might not know about us, is that we are leading a cloud revolution. 

By delivering tomorrow’s emerging technologies, today, we are transforming the world of business, empowering governments, and helping society evolve with the pace of change. We are disrupting old standards. Revolutionizing industries. What we are doing, above all—is changing lives."
